,profit_1m,profit_3m,profit_6m,profit_1y,profit_2y,profit_5y
coefficient,0.04977771632487187,0.047318917306409886,0.023125575194120205,0.01975653868299978,0.014698416829089504,0.005407455547898143
sign,+,+,+,+,+,+
t_value,18.750329463445283,20.36293793338695,11.210078509994215,13.403425174583175,10.043371005830384,4.026424854767429
avg_3m_coef,0.013522369466061184,,0.008086154881483173,,,
avg_3m_tval,3.53192276366366,,2.587524713370483,,,
avg_6m_coef,-0.031171739153778102,-0.01739744977613631,-0.013957990477023141,-0.006792887659253281,-0.006936357515032724,-0.003139772181636794
avg_6m_tval,-6.761329418983218,-5.27246042616946,-4.14384867832729,-2.8524197271532503,-2.860668361329423,-1.4012690624982562
avg_12m_coef,0.06953372199011316,0.05490401654239513,0.06529218102862037,0.03960356308357456,0.018101138592476116,0.009830725328954798
avg_12m_tval,13.988168615855576,11.70421871724155,18.88107904704064,10.915517988230997,6.0925081430931725,3.561850821857927
avg_24m_coef,-0.10733028260984813,-0.08555776841038804,-0.08558542377962436,-0.06065877833004943,-0.04182921982822981,-0.01619413351995411
avg_24m_tval,-30.165858138727636,-29.722392046824027,-35.57942219247908,-24.18853744724983,-20.539030857860705,-10.004792636416894
