,profit_1m,profit_3m,profit_6m,profit_1y,profit_2y,profit_5y
coefficient,-0.0001810124642628899,0.00023318111364543137,-0.00013279014322005865,-0.0016637549443477612,-0.005562049584294333,-0.002374371126808014
sign,–,+,–,–,–,–
t_value,-8.525382363271675,7.347045533779326,-2.261770431673988,-15.571925278965976,-35.55481549861414,-9.832073406524403
