,profit_1m,profit_3m,profit_6m,profit_1y,profit_2y,profit_5y
coefficient,-0.001755964362573341,0.0023950541919996746,,-0.007283521668047425,-0.015918342173941367,-0.0017227208662142972
sign,–,+,0,–,–,–
t_value,-5.989656189368791,9.078740041189786,,-17.149100555299807,-38.06967976088169,-4.645516289738429
